catalog,man,bran,year,circa,surf,textureWord,glossWord,colorWord,thicknessWord,dims,backp,postcard,toner,resin,sb,sbid,suffs,dmin,dmax,dminHex,dmaxHex,auc,roughness,gloss,thickness,expressiveness,radarGroup,expressivenessGroup,isoGroup,gep100,gep150,gep200,gep250,gep300,tmap,processing
5412o,Gevaert,Gevatone,1957,1,K28,,Super Matte,White,Double Weight,,,0,,0,1,5412,,9.22,1.17,#f0ead8,#434240,3.484,0.053,,0.365,,,,1.0,"[692, 729, 0]","[629, 753, 0]","[517, 752, 0]","[675, 710, 0]","[699, 584, 0]","[71.0, 14.0, 0]",0
5412p,Gevaert,Gevatone,1957,1,K29,,Super Matte,Cream,Double Weight,,,0,,0,1,5412,,19.69,5.47,#f1debb,#504b43,0.173,0.045,,0.387,,,,1.0,"[699, 676, 0]","[651, 555, 0]","[568, 503, 0]","[652, 629, 0]","[779, 601, 0]","[51.0, 7.0, 1]",0
5412q,Gevaert,Gevatone,1957,1,K48,Rough,Velvet,White,Double Weight,,,0,,0,1,5412,,10.09,0.65,#f0e8d6,#3a3838,2.447,0.071,,0.313,,,,1.0,"[687, 637, 0]","[660, 592, 0]","[665, 689, 0]","[740, 528, 0]","[772, 618, 0]","[67.0, 54.0, 0]",0
5412r,Gevaert,Gevatone,1957,1,K49,Rough,Velvet,Cream,Double Weight,,,0,,0,1,5412,,21.36,3.03,#f1dcb6,#373430,0.184,0.08,,0.311,,,,1.0,"[686, 656, 0]","[578, 591, 0]","[769, 756, 0]","[506, 562, 0]","[610, 643, 0]","[66.0, 53.0, 2]",0
5412s,Gevaert,Ortho-Brom,1957,1,1,Smooth,Matte,White,Single Weight,,,0,,0,1,5412,,10.05,-0.91,#e9e1ce,#5f6062,1.87,0.022,,0.163,,,,0.0,"[687, 742, 0]","[777, 606, 0]","[704, 729, 0]","[597, 766, 0]","[610, 608, 0]","[50.0, 34.0, 1]",0
5412t,Gevaert,Ortho-Brom,1957,1,K8,,Glossy,White,Double Weight,,G04,0,,0,1,5412,,6.76,3.38,#e4dfd3,#34322d,2.876,0.009,,0.285,,,,1.0,"[622, 723, 0]","[776, 636, 0]","[700, 599, 0]","[615, 619, 0]","[784, 766, 0]","[10.0, 28.0, 0]",0
5412u,Gevaert,Ortho-Brom,1957,1,K34,Fine Grained,Royal,White,Double Weight,,,0,,0,1,5412,,8.83,0.56,#ece6d5,#424141,3.897,0.05,,0.373,,,,1.0,"[787, 727, 0]","[784, 675, 0]","[579, 775, 0]","[620, 591, 0]","[746, 721, 0]","[58.0, 9.0, 1]",0
5412v,Gevaert,Ortho-Brom,1957,1,K36,Silk Finish,Semi Matte,White,Double Weight,,,0,,0,1,5412,,8.8,3.58,#ebe3d3,#23201c,3.606,0.083,,0.289,,,,1.0,"[606, 552, 0]","[565, 730, 0]","[642, 562, 0]","[703, 531, 0]","[583, 745, 0]","[75.0, 88.0, 0]",0
5412w,Gevaert,Gevaluxe,1957,1,Gvlx Vlrs,Velour,Matte,Special Cream,Double Weight,,,0,,0,1,5412,,19.38,3.28,#f3dfbd,#383430,0.115,0.127,,0.458,,,,2.0,"[689, 724, 0]","[541, 537, 0]","[537, 757, 0]","[538, 679, 0]","[729, 626, 0]","[64.0, 6.0, 3]",0
5413a,Gevaert,Ridax,1920,1,1,Smooth,Matte,White,Single Weight,,,0,,0,1,5413,,6.8,1.42,#e9e2d6,#4f4d4b,0.06,0.038,1.495,0.129,1.474,0_0_2_2,1.0,0.0,"[6, -12, 0]","[20, 4, 0]","[34, 3, 0]","[52, 3, 0]","[75, 2, 0]","[49.0, 14.0, 0]",0
5413b,Gevaert,Ridax,1920,1,K1,Smooth,Matte,White,Double Weight,,,0,,0,1,5413,,7.81,1.12,#e4ded0,#585655,0.061,0.037,1.337,0.286,1.7,1_0_2_2,2.0,1.0,"[10, 41, 0]","[24, 37, 0]","[29, 52, 0]","[38, 63, 0]","[50, 63, 0]","[56.0, 29.0, 0]",0
5413c,Gevaert,Ridax,1920,1,2,Rough,Matte,White,Single Weight,,,0,,0,1,5413,,10.47,-2.95,#e0d8c4,#878e92,0.1,0.062,2.33,0.185,1.686,0_0_2_4,2.0,0.0,"[6, 2, 0]","[15, 5, 0]","[25, 6, 0]","[37, 8, 0]","[53, 9, 0]","[58.0, 31.0, 2]",0
5413d,Gevaert,Ridax,1920,1,3,Smooth,Semi Matte,White,Single Weight,,,0,,0,1,5413,,10.44,0.19,#e4dcc9,#4a4a4a,0.039,0.046,5.981,0.137,1.561,0_0_2_3,2.0,0.0,"[4, -10, 0]","[12, -4, 0]","[27, -3, 0]","[40, -3, 0]","[57, -3, 0]","[58.0, 11.0, 0]",0
5413e,Gevaert,Ridax,1920,1,4,Velvet,Semi Matte,White,Single Weight,,,0,,0,1,5413,,11.35,2.75,#d2cab5,#2f2c29,0.053,0.039,13.702,0.13,1.515,0_0_2_2,1.0,0.0,"[3, -11, 0]","[17, -4, 0]","[30, 0, 0]","[48, 0, 0]","[71, -1, 0]","[37.0, 29.0, 0]",0
5413f,Gevaert,Ridax,1920,1,5,Smooth,Matte,Cream,Double Weight,,,0,,0,1,5413,,9.85,2.28,#ede3d1,#4e4b48,0.052,0.041,1.91,0.295,1.763,1_0_2_3,2.0,1.0,"[-11, 0, 0]","[6, 46, 0]","[14, 38, 0]","[22, 63, 0]","[31, 75, 0]","[44.0, 17.0, 3]",0
5413g,Gevaert,Ridax,1920,1,K8,Smooth,Semi Matte,Cream,Double Weight,,,0,,0,1,5413,,12.06,2.03,#eee2cc,#504e4b,0.08,0.041,4.263,0.295,1.796,1_0_3_3,2.0,1.0,"[-6, 18, 0]","[-12, 28, 0]","[-24, 37, 0]","[-37, 46, 0]","[-52, 54, 0]","[52.0, 27.0, 1]",0
5413h,Gevaert,Ridax,1920,1,7,Smooth,Semi Matte,Cream,Single Weight,,,0,,0,1,5413,,15.43,1.52,#e6d9bd,#403e3c,0.086,0.029,4.158,0.154,1.648,0_0_4_1,2.0,0.0,"[-7, -8, 0]","[-10, -3, 0]","[-17, -5, 0]","[-27, -7, 0]","[-39, -8, 0]","[38.0, 38.0, 0]",0
5413i,Gevaert,Ridax,1920,1,8,,Glossy,White,Single Weight,,,0,,0,1,5413,,7.7,3.87,#d7d4c5,#36322d,0.129,0.028,82.769,0.129,1.08,0_3_2_1,0.0,0.0,"[30, -44, 0]","[75, -61, 0]","[135, -82, 0]","[211, -103, 0]","[304, -123, 0]","[34.0, 30.0, 1]",0
5413j,Gevaert,Artos,1920,1,1,Smooth,Matte,White,Single Weight,,,0,,0,1,5413,,8.86,23.06,#ddd6c6,#a05344,0.082,0.042,2.003,0.166,1.575,0_0_2_3,2.0,0.0,"[0, -14, 0]","[11, -7, 0]","[22, -4, 0]","[35, -5, 0]","[56, 4, 0]","[56.0, 28.0, 1]",0
5413k,Gevaert,Artos,1920,1,K1,Smooth,Matte,White,Double Weight,,,0,,0,1,5413,,10.78,26.16,#e6dbc8,#a34f3e,0.051,0.032,1.478,0.293,1.757,1_0_2_2,2.0,1.0,"[11, 40, 0]","[15, 46, 0]","[19, 38, 0]","[39, 62, 0]","[47, 63, 0]","[38.0, 16.0, 3]",0
5413l,Gevaert,Artos,1920,1,3,Smooth,Semi Matte,White,Single Weight,,,0,,0,1,5413,,11.37,4.91,#dfd4c0,#534d46,0.099,0.069,5.916,0.169,1.684,0_0_2_4,2.0,0.0,"[5, -1, 0]","[12, 3, 0]","[22, 4, 0]","[34, 6, 0]","[50, 7, 0]","[38.0, 26.0, 1]",0
5413m,Gevaert,Artos,1920,1,K3,Smooth,Semi Matte,White,Double Weight,,,0,,0,1,5413,,12.29,0.68,#daccb7,#454342,0.095,0.063,7.222,0.295,1.848,1_0_3_4,2.0,1.0,"[-12, 18, 0]","[-15, 29, 0]","[-28, 39, 0]","[-44, 49, 0]","[-64, 59, 0]","[36.0, 80.0, 0]",0
5413n,Gevaert,Artos,1920,1,K8,Smooth,Semi Matte,Cream,Double Weight,,,0,,0,1,5413,,19.73,3.01,#e1ceab,#413c39,0.059,0.058,5.564,0.247,1.931,1_0_4_4,3.0,1.0,"[-28, 9, 0]","[-26, 25, 0]","[-54, 35, 0]","[-83, 40, 0]","[-122, 44, 0]","[40.0, 43.0, 0]",0
5413o,Gevaert,Artos,1920,1,7,Smooth,Semi Matte,Cream,Single Weight,,,0,,0,1,5413,,15.48,-0.47,#e5d5ba,#4d4c4d,0.06,0.068,6.414,0.16,1.751,0_0_4_4,2.0,0.0,"[-5, -3, 0]","[-6, 0, 0]","[-10, 1, 0]","[-16, 1, 0]","[-22, 1, 0]","[33.0, 65.0, 5]",0
5413p,Gevaert,Ortho-Brom,1920,1,1,Smooth,Matte,White,Single Weight,,,0,,0,1,5413,,8.14,0.61,#e4e0d0,#5c5c5b,0.103,0.039,2.83,0.169,1.553,0_0_2_2,2.0,0.0,"[5, -8, 0]","[19, 2, 0]","[33, 2, 0]","[51, 2, 0]","[74, 1, 0]","[44.0, 17.0, 1]",0
5413q,Gevaert,Ortho-Brom,1920,1,2,Rough,Matte,White,Single Weight,,,0,,0,1,5413,,13.93,2.08,#e3d8bf,#4c4a47,0.151,0.073,1.497,0.195,1.804,0_0_3_4,2.0,0.0,"[-5, 0, 0]","[0, 0, 0]","[1, 0, 0]","[3, 1, 0]","[5, 1, 0]","[39.0, 29.0, 1]",0
5413r,Gevaert,Ortho-Brom,1920,1,3,Smooth,Semi Matte,White,Single Weight,,,0,,0,1,5413,,12.48,3.65,#ded6bf,#3e3b36,0.117,0.041,7.96,0.145,1.591,0_0_3_3,2.0,0.0,"[0, -4, 0]","[6, -2, 0]","[11, -2, 0]","[17, -3, 0]","[25, -3, 0]","[67.0, 13.0, 1]",0
5413s,Gevaert,Ortho-Brom,1920,1,4,Velvet,Semi Matte,White,Single Weight,,,0,,0,1,5413,,10.57,4.35,#e0d9c5,#433b36,0.096,0.046,5.117,0.141,1.573,0_0_2_3,2.0,0.0,"[-4, -8, 0]","[10, 1, 0]","[22, 2, 0]","[35, 2, 0]","[52, 2, 0]","[67.0, 13.0, 0]",0
5413t,Gevaert,Artos,1920,1,5,Smooth,Matte,Cream,Single Weight,,,0,,0,1,5413,,13.98,10.69,#e4d5bc,#5c493c,0.065,0.073,1.544,0.164,1.762,0_0_3_4,2.0,0.0,"[-3, -4, 0]","[3, 2, 0]","[4, 2, 0]","[6, 3, 0]","[8, 3, 0]","[36.0, 81.0, 2]",0
5413u,Gevaert,Artos,1920,1,K5,Smooth,Matte,Cream,Double Weight,,,0,,0,1,5413,,13.26,11.48,#ebdcc5,#604d3f,0.086,0.069,1.215,0.289,1.904,1_0_3_4,3.0,1.0,"[-19, 25, 0]","[-20, 29, 0]","[-27, 44, 0]","[-43, 54, 0]","[-63, 64, 0]","[36.0, 81.0, 1]",0
5413v,Gevaert,Ortho-Brom,1920,1,5,Smooth,Matte,Cream,Single Weight,,,0,,0,1,5413,,16.86,5.62,#e3d5b7,#504640,0.054,0.031,1.125,0.156,1.7,0_0_4_2,2.0,0.0,"[-4, -5, 0]","[-7, -3, 0]","[-11, -4, 0]","[-17, -5, 0]","[-24, -7, 0]","[34.0, 30.0, 0]",0
5413w,Gevaert,Ortho-Brom,1920,1,6,Rough,Matte,Cream,Double Weight,,,0,,0,1,5413,,12.44,3.9,#ecdfc9,#4a423e,0.097,0.057,1.81,0.304,1.872,1_0_3_4,3.0,1.0,"[-23, 20, 0]","[-18, 35, 0]","[-33, 40, 0]","[-49, 50, 0]","[-69, 60, 0]","[69.0, 15.0, 0]",0
5413x,Gevaert,Ortho-Brom,1920,1,7,Smooth,Semi Matte,Cream,Single Weight,,,0,,0,1,5413,,15.99,3.89,#e6d7ba,#47403b,0.099,0.038,4.322,0.169,1.702,0_0_4_2,2.0,0.0,"[-5, -6, 0]","[-6, -4, 0]","[-10, -5, 0]","[-16, -6, 0]","[-23, -8, 0]","[38.0, 27.0, 1]",0
5413y,Gevaert,Ortho-Brom,1920,1,8,,Glossy,White,Single Weight,,,0,,0,1,5413,,9.18,4.66,#d3cebd,#403c35,0.095,0.023,79.521,0.131,1.115,0_3_2_1,0.0,0.0,"[31, -45, 0]","[76, -62, 0]","[136, -83, 0]","[212, -104, 0]","[305, -124, 0]","[35.0, 32.0, 0]",0
5413z,Gevaert,Ronix,1920,1,5,Smooth,Matte,Cream,Single Weight,,,0,,0,1,5413,,19.27,7.61,#e1cfad,#514239,0.035,0.097,3.747,0.16,1.922,0_0_4_4,3.0,0.0,"[-5, -1, 0]","[-6, 2, 0]","[-10, 3, 0]","[-16, 3, 0]","[-22, 3, 0]","[36.0, 81.0, 0]",0
5413aa,Gevaert,Ronix,1920,1,8,,Glossy,White,Single Weight,,,0,,0,1,5413,,3.92,4.84,#cbc8c1,#3a2a27,0.034,0.029,63.685,0.126,1.091,0_2_1_1,0.0,0.0,"[36, -27, 0]","[64, -14, 0]","[140, 5, 0]","[204, -11, 0]","[315, -25, 0]","[35.0, 31.0, 0]",0
5413bb,Gevaert,Calcium,1920,1,8,,Glossy,White,Single Weight,,,0,,0,1,5413,,6.3,7.8,#ccc4ba,#3f2722,0.02,0.028,49.872,0.126,1.204,0_2_1_1,0.0,0.0,"[46, 7, 0]","[84, 8, 0]","[125, -2, 0]","[222, -22, 0]","[319, -5, 0]","[41.0, 21.0, 0]",0
5413cc,Gevaert,Relor,1920,1,8,,Glossy,White,Single Weight,,,0,,0,1,5413,,6.83,20.71,#d6d5c7,#512815,0.078,0.016,92.21,0.121,0.974,0_4_2_1,0.0,0.0,"[33, -46, 0]","[81, -65, 0]","[145, -87, 0]","[227, -109, 0]","[327, -131, 0]","[11.0, 41.0, 0]",0
5413dd,Gevaert,Mat,1920,1,K1,Smooth,Matte,White,Double Weight,,,0,,0,1,5413,,13.42,10.81,#cec1aa,#67594a,0.032,0.087,4.812,0.248,1.885,1_0_3_4,3.0,1.0,"[-25, 20, 0]","[-13, 36, 0]","[-34, 39, 0]","[-41, 47, 0]","[-61, 57, 0]","[36.0, 80.0, 1]",0
5413ee,Gevaert,Mat,1920,1,5,Smooth,Matte,Cream,Single Weight,,,0,,0,1,5413,,17.44,10.45,#e7d6b7,#615244,0.036,0.06,4.264,0.167,1.79,0_0_4_4,2.0,0.0,"[-6, -2, 0]","[-7, 1, 0]","[-11, 2, 0]","[-17, 2, 0]","[-23, 2, 0]","[34.0, 65.0, 0]",0
5413ff,Gevaert,Blue Star,1920,1,1,Smooth,Matte,White,Single Weight,,,0,,0,1,5413,,10.73,9.8,#d9d4bf,#5e423a,0.148,0.044,4.184,0.144,1.578,0_0_2_3,2.0,0.0,"[-4, -9, 0]","[10, -4, 0]","[22, -3, 0]","[38, -4, 0]","[55, -4, 0]","[62.0, 38.0, 0]",0
5414a,Mimosa,Sunotype,1950,1,01,,Glossy,White,Single Weight,,,0,,0,1,5414,,4.34,2.17,#dad6ce,#282523,0.032,0.015,91.797,0.153,0.962,0_4_1_1,0.0,0.0,"[38, -48, 0]","[97, -63, 0]","[172, -85, 0]","[269, -106, 0]","[388, -128, 0]","[13.0, 30.0, 0]",0
5414b,Mimosa,Sunotype,1940,1,21,,Glossy,Cream,Single Weight,,,0,,0,1,5414,,14.75,7.39,#e3d2b9,#373127,0.023,0.01,89.129,0.172,1.201,0_4_3_0,0.0,0.0,"[26, -44, 0]","[66, -62, 0]","[118, -83, 0]","[185, -104, 0]","[268, -125, 0]","[8.0, 35.0, 1]",0
5414c,Mimosa,Helioton,1940,1,01,,Glossy,White,Single Weight,,,0,,0,1,5414,,3.87,3.53,#e7e4dd,#24211c,0.123,0.01,89.509,0.163,0.964,0_4_1_0,0.0,0.0,"[39, -53, 0]","[96, -68, 0]","[162, -86, 0]","[254, -107, 0]","[368, -129, 0]","[12.0, 33.0, 1]",0
5414d,Mimosa,Helioton,1940,1,41,,Glossy,Pink,Single Weight,,,0,,0,1,5414,,10.71,4.03,#e9d8c7,#26221d,0.089,0.011,87.392,0.167,1.121,0_4_2_0,0.0,0.0,"[29, -45, 0]","[78, -67, 0]","[138, -89, 0]","[214, -111, 0]","[307, -133, 0]","[5.0, 36.0, 0]",0
5414e,Mimosa,Velotype,1940,1,111,,Glossy,White,Double Weight,,,0,,0,1,5414,,6.34,4.29,#e5dfd3,#211e19,0.105,0.019,61.597,0.274,1.318,1_2_1_1,1.0,1.0,"[30, -25, 0]","[75, -24, 0]","[140, -17, 0]","[217, -27, 0]","[310, -32, 0]","[4.0, 32.0, 0]",0
5414f,Mimosa,Velotype,1940,1,113,,Matte,White,Double Weight,,,0,,0,1,5414,,9.59,2.44,#efe8d6,#413f3c,0.117,0.028,4.593,0.278,1.686,1_0_2_1,2.0,1.0,"[17, 28, 0]","[20, 35, 0]","[30, 39, 0]","[39, 48, 0]","[57, 59, 0]","[56.0, 41.0, 2]",0
5414g,Mimosa,Velotype,1940,1,117,Grained,,White,Double Weight,,,0,,0,1,5414,,7.84,2.81,#ebe4d6,#2e2c28,0.109,0.129,7.966,0.254,1.878,1_0_2_6,3.0,1.0,"[-15, 29, 0]","[-24, 43, 0]","[-33, 55, 0]","[-53, 69, 0]","[-78, 84, 0]","[63.0, 95.0, 0]",0
5414h,Mimosa,Velotype,1940,1,118,Fine Grained,,White,Double Weight,,,0,,0,1,5414,,7.94,2.97,#e8e3d4,#3c3a36,0.011,0.091,4.838,0.262,1.802,1_0_2_4,2.0,1.0,"[-23, 33, 0]","[-10, 43, 0]","[1, 55, 0]","[-7, 55, 0]","[-6, 66, 0]","[84.0, 60.0, 0]",0
5414i,Mimosa,Velotype,1940,1,122,,Semi Matte,Cream,Double Weight,,,0,,0,1,5414,,12.06,2.12,#e8d9c4,#3f3d3a,-0.01,0.03,10.6,0.283,1.72,1_0_3_1,2.0,1.0,"[-9, 10, 0]","[-14, 21, 0]","[-24, 28, 0]","[-36, 36, 0]","[-52, 43, 0]","[48.0, 58.0, 1]",0
5414j,Mimosa,Velotype,1940,1,123,,Matte,Cream,Double Weight,,,0,,0,1,5414,,11.66,-0.05,#e8dac6,#3a3a3a,0.01,0.03,5.032,0.281,1.735,1_0_2_1,2.0,1.0,"[20, 33, 0]","[22, 25, 0]","[33, 45, 0]","[43, 46, 0]","[54, 68, 0]","[47.0, 48.0, 1]",0
5414k,Mimosa,Velotype,1940,1,128,Fine Grained,,Cream,Double Weight,,,0,,0,1,5414,,20.27,2.56,#e7cfac,#3b3835,0.091,0.072,6.995,0.257,1.985,1_0_4_4,3.0,1.0,"[-27, 12, 0]","[-34, 28, 0]","[-61, 32, 0]","[-92, 33, 0]","[-127, 40, 0]","[88.0, 59.0, 1]",0
5414l,Mimosa,Velotype,1940,1,111,,Glossy,White,Double Weight,,,0,,0,1,5414,,7.96,4.93,#d7d0c2,#2b2821,0.038,0.016,56.699,0.267,1.359,1_2_2_1,1.0,1.0,"[25, -16, 0]","[69, -22, 0]","[121, -29, 0]","[187, -36, 0]","[269, -43, 0]","[50.0, 59.0, 1]",0
5414m,Mimosa,Velotype,1940,1,113,,Matte,White,Double Weight,,,0,,0,1,5414,,10.11,1.84,#e2dcc9,#3c3a37,0.022,0.028,5.336,0.276,1.691,1_0_2_1,2.0,1.0,"[14, 32, 0]","[21, 31, 0]","[30, 46, 0]","[37, 50, 0]","[55, 61, 0]","[56.0, 41.0, 0]",0
5414n,Mimosa,Velotype,1940,1,117,Grained,,White,Double Weight,,,0,,0,1,5414,,7.15,-0.51,#e0dccf,#313132,0.029,0.13,7.224,0.248,1.86,1_0_2_6,3.0,1.0,"[-18, 25, 0]","[-23, 39, 0]","[-33, 59, 0]","[-53, 73, 0]","[-78, 88, 0]","[64.0, 95.0, 6]",0
5414o,Mimosa,Velotype,1940,1,118,Fine Grained,,White,Double Weight,,,0,,0,1,5414,,9.48,3.02,#e9e2d0,#3d3a36,0.034,0.092,5.703,0.263,1.832,1_0_2_4,2.0,1.0,"[-13, 41, 0]","[-11, 37, 0]","[-7, 43, 0]","[1, 66, 0]","[2, 77, 0]","[83.0, 60.0, 1]",0
5414p,Mimosa,Velotype,1940,1,122,,Semi Matte,Cream,Double Weight,,,0,,0,1,5414,,12.57,2.65,#e7d9c3,#3c3936,0.005,0.03,9.618,0.281,1.734,1_0_3_2,2.0,1.0,"[-6, 15, 0]","[-10, 26, 0]","[-16, 34, 0]","[-25, 42, 0]","[-35, 50, 0]","[53.0, 49.0, 1]",0
5414q,Mimosa,Velotype,1940,1,123,,Matte,Cream,Double Weight,,,0,,0,1,5414,,12.71,2.92,#eadbc5,#3d3a36,0.051,0.028,5.039,0.278,1.749,1_0_3_1,2.0,1.0,"[-9, 13, 0]","[-13, 24, 0]","[-23, 31, 0]","[-35, 39, 0]","[-51, 46, 0]","[52.0, 41.0, 1]",0
5414r,Mimosa,Luxus Bromosa,1940,1,01,,Glossy,White,Single Weight,,,0,,0,1,5414,,4.88,1.24,#e2ded5,#343331,0.055,0.009,85.787,0.158,0.994,0_3_1_0,0.0,0.0,"[37, -41, 0]","[91, -62, 0]","[163, -83, 0]","[256, -103, 0]","[370, -123, 0]","[6.0, 34.0, 0]",0
5414s,Mimosa,Luxus Bromosa,1940,1,21,,Glossy,Cream,Single Weight,,,0,,0,1,5414,,16.7,2.16,#ead8bb,#272421,0.035,0.01,87.883,0.162,1.233,0_4_4_0,0.0,0.0,"[22, -43, 0]","[58, -59, 0]","[103, -79, 0]","[162, -98, 0]","[234, -118, 0]","[5.0, 36.0, 1]",0
5414t,Mimosa,Luxus Bromosa,1940,1,111,,Glossy,White,Double Weight,,,0,,0,1,5414,,5.3,1.02,#ddd8ce,#343332,0.013,0.015,58.701,0.262,1.285,1_2_1_1,0.0,1.0,"[22, -10, 0]","[81, -19, 0]","[138, -25, 0]","[208, -31, 0]","[301, -36, 0]","[50.0, 59.0, 0]",0
5414u,Mimosa,Luxus Bromosa,1940,1,113,,Matte,White,Double Weight,,,0,,0,1,5414,,7.41,0.57,#ded8ca,#41403f,0.057,0.028,6.649,0.291,1.649,1_0_2_1,2.0,1.0,"[12, 29, 0]","[11, 28, 0]","[29, 46, 0]","[37, 53, 0]","[55, 64, 0]","[52.0, 47.0, 0]",0
5414v,Mimosa,Luxus Bromosa,1940,1,117,Grained,,White,Double Weight,,,0,,0,1,5414,,7.66,1.66,#e5e0d2,#393836,0.059,0.14,11.193,0.257,1.893,1_0_2_6,3.0,1.0,"[-15, 31, 0]","[-24, 45, 0]","[-33, 57, 0]","[-53, 71, 0]","[-78, 86, 0]","[63.0, 95.0, 2]",0
5414w,Mimosa,Luxus Bromosa,1940,1,118,Fine Grained,,White,Double Weight,,,0,,0,1,5414,,10.59,0.88,#ece6d1,#424140,0.061,0.092,5.316,0.257,1.85,1_0_2_4,2.0,1.0,"[-16, 40, 0]","[-2, 47, 0]","[1, 38, 0]","[9, 58, 0]","[10, 69, 0]","[83.0, 61.0, 1]",0
5414x,Mimosa,Luxus Bromosa,1940,1,123,,Matte,Cream,Double Weight,,,0,,0,1,5414,,13.77,1.22,#eedec6,#403f3d,0.04,0.035,5.762,0.282,1.791,1_0_3_2,2.0,1.0,"[-5, 15, 0]","[-7, 23, 0]","[-13, 31, 0]","[-22, 39, 0]","[-32, 47, 0]","[53.0, 41.0, 0]",0
5414y,Mimosa,Luxus Bromosa,1940,1,128,Fine Grained,,Cream,Double Weight,,,0,,0,1,5414,,18.79,0.63,#f0d9b9,#3b3a39,0.105,0.086,7.694,0.23,1.955,1_0_4_4,3.0,1.0,"[-26, 19, 0]","[-32, 29, 0]","[-62, 31, 0]","[-86, 42, 0]","[-122, 48, 0]","[88.0, 59.0, 0]",0
5414z,Mimosa,Verda,1940,1,113,,Matte,White,Double Weight,,,0,,0,1,5414,,6.91,3.53,#e8e2d5,#3d3d37,0.144,0.023,4.965,0.281,1.621,1_0_2_1,2.0,1.0,"[15, 34, 0]","[22, 33, 0]","[32, 41, 0]","[38, 47, 0]","[63, 68, 0]","[50.0, 61.0, 0]",0
5414aa,Mimosa,Carbon Braun,1940,1,113e,,Deep Matte,White,Double Weight,,,0,,0,1,5414,,9.94,5.9,#e4dbc9,#4f443d,0.113,0.02,4.485,0.297,1.698,1_0_2_1,2.0,1.0,"[9, 25, 0]","[18, 34, 0]","[29, 42, 0]","[44, 52, 0]","[62, 63, 0]","[53.0, 38.0, 0]",0
5414bb,Mimosa,Aktograph Paper,1940,1,3 (Aktograph),,Matte,White,Thin,,,0,,0,1,5414,,11.25,-0.05,#e6dec9,#3c3a3a,0.684,0.058,7.503,0.109,1.565,0_0_2_4,2.0,0.0,"[-8, 2, 0]","[18, 6, 0]","[21, 10, 0]","[39, 9, 0]","[55, 10, 0]","[58.0, 7.0, 0]",0
5414cc,Mimosa,Aktograph Paper,1940,1,3 (Aktograph),,Matte,White,Thin,,,0,,0,1,5414,,12.05,1.07,#ede4cd,#3b3837,0.692,0.056,7.939,0.113,1.58,0_0_3_4,2.0,0.0,"[-1, 0, 0]","[3, -1, 0]","[4, -1, 0]","[6, 0, 0]","[8, 0, 0]","[58.0, 4.0, 0]",0
5414dd,Mimosa,Aktoflex Paper,1940,1,2 (Aktoflex),,Matte,White,Thin,,,0,,0,1,5414,,5.52,1.13,#dcd9cf,#2d2b2a,0.001,,7.864,0.117,,,,0.0,"[705, 600, 0]","[594, 528, 0]","[621, 671, 0]","[620, 708, 0]","[565, 634, 0]","[756, 760, 0]",0
5414ee,Mimosa,Aktoflex Paper,1940,1,2 (Aktoflex),,Matte,White,Thin,,,0,,0,1,5414,,9.59,4.43,#f1ebd8,#98958e,0.202,0.029,10.482,0.113,1.444,0_0_2_1,1.0,0.0,"[13, -6, 0]","[26, 2, 0]","[45, 0, 0]","[68, 0, 0]","[97, 0, 0]","[48.0, 17.0, 2]",0
5414ff,Mimosa,Film Paper,1940,1,1 (Film Paper),,Matte,,,,,0,,0,1,5414,,,,,,,0.027,8.475,0.112,,,,0.0,"[711, 595, 0]","[582, 787, 0]","[680, 529, 0]","[749, 598, 0]","[665, 587, 0]","[48.0, 18.0, 0]",0
5414gg,Mimosa,Film Paper,1940,1,1 (Film Paper),,Matte,,,,,0,,0,1,5414,,,,,,,0.031,7.171,0.112,,,,0.0,"[521, 662, 0]","[629, 716, 0]","[567, 602, 0]","[656, 696, 0]","[561, 765, 0]","[49.0, 26.0, 4]",0
5415,Positiv,Potobrom,1995,1,,Smooth,Glossy,White,Single Weight,3.5 x 4.75,,0,,0,0,,v,,,,,,,,,,,,,"[774, 573, 0]","[681, 625, 0]","[569, 734, 0]","[520, 735, 0]","[556, 554, 0]","[674, 664, 0]",0
5416,Photo Paper Factory 4,Unibrom,1956,0,,,Semi Matte,White,Double Weight,3.5 x 4.75,,0,,0,0,,v,,,,,,,,,,,,,"[713, 525, 0]","[633, 529, 0]","[687, 521, 0]","[675, 702, 0]","[675, 651, 0]","[609, 767, 0]",0
5417,Slavich Photographic Paper,Unibrom,2006,0,,Smooth,Glossy,,Medium Weight,3.5 x 4.75,,0,,0,0,,v,,,,,,,,,,,,,"[552, 628, 0]","[725, 537, 0]","[773, 798, 0]","[673, 782, 0]","[637, 639, 0]","[600, 601, 0]",0
5418,Photon,Universal-1,1998,0,,Smooth,Glossy,White,Single Weight,3.5 x 5.5,,0,,0,0,,v,,,,,,,,,,,,,"[755, 569, 0]","[610, 543, 0]","[718, 638, 0]","[548, 741, 0]","[755, 625, 0]","[646, 705, 0]",0
5419,Photon,Universal-1,1998,0,,Smooth,Glossy,White,Single Weight,5 x 7,,0,,0,0,,v,,,,,,,,,,,,,"[691, 782, 0]","[667, 793, 0]","[639, 658, 0]","[627, 793, 0]","[605, 648, 0]","[600, 615, 0]",0
